"New_species","ID","Year","Area","Perimeter","Entrance_distance","Volume","Entrances_number","Bat_number","Area_scaled","Perimeter_scaled","Entrance_distance_scaled","Volume_scaled","ED_shifted_min"
"Enil","121",2021,39.524,49.808,10.063,75.0956,1,0,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Enil","121",2022,39.524,49.808,10.063,75.0956,1,0,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Enil","121",2023,39.524,49.808,10.063,75.0956,1,NA,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Enil","121",2024,39.524,49.808,10.063,75.0956,1,1,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Enil","121",2025,39.524,49.808,10.063,75.0956,1,2,-0.323177684176446,-0.383099864686713,-0.47385446700931,-0.329531571236195,4.577
"Enil","140",2013,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","140",2014,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","140",2015,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","140",2016,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","140",2017,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","140",2018,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","140",2019,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","140",2020,39.458,54.502,8.232,78.916,3,0,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","140",2021,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","140",2022,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","140",2023,39.458,54.502,8.232,78.916,3,NA,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","140",2024,39.458,54.502,8.232,78.916,3,8,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","140",2025,39.458,54.502,8.232,78.916,3,7,-0.324378243423081,-0.241354765964992,-0.903570361145585,-0.309827616198634,2.746
"Enil","141",2013,35.924,51.778,10.191,67.53712,1,NA,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","141",2014,35.924,51.778,10.191,67.53712,1,NA,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","141",2015,35.924,51.778,10.191,67.53712,1,NA,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","141",2016,35.924,51.778,10.191,67.53712,1,NA,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","141",2017,35.924,51.778,10.191,67.53712,1,NA,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","141",2018,35.924,51.778,10.191,67.53712,1,NA,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","141",2019,35.924,51.778,10.191,67.53712,1,NA,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","141",2020,35.924,51.778,10.191,67.53712,1,1,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","141",2021,35.924,51.778,10.191,67.53712,1,1,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","141",2022,35.924,51.778,10.191,67.53712,1,0,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","141",2023,35.924,51.778,10.191,67.53712,1,1,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","141",2024,35.924,51.778,10.191,67.53712,1,0,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","141",2025,35.924,51.778,10.191,67.53712,1,2,-0.388662733992929,-0.32361161490363,-0.443814251580886,-0.368514910696017,4.705
"Enil","142",2013,36.774,57.779,9.781,72.44478,2,NA,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","142",2014,36.774,57.779,9.781,72.44478,2,NA,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","142",2015,36.774,57.779,9.781,72.44478,2,NA,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","142",2016,36.774,57.779,9.781,72.44478,2,NA,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","142",2017,36.774,57.779,9.781,72.44478,2,NA,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","142",2018,36.774,57.779,9.781,72.44478,2,NA,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","142",2019,36.774,57.779,9.781,72.44478,2,NA,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","142",2020,36.774,57.779,9.781,72.44478,2,1,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","142",2021,36.774,57.779,9.781,72.44478,2,1,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","142",2022,36.774,57.779,9.781,72.44478,2,2,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","142",2023,36.774,57.779,9.781,72.44478,2,4,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","142",2024,36.774,57.779,9.781,72.44478,2,3,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","142",2025,36.774,57.779,9.781,72.44478,2,2,-0.373200986119593,-0.14239893117354,-0.540036816625055,-0.343203343326203,4.295
"Enil","143",2013,34.438,55.611,9.18,66.12096,2,NA,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","143",2014,34.438,55.611,9.18,66.12096,2,NA,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","143",2015,34.438,55.611,9.18,66.12096,2,NA,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","143",2016,34.438,55.611,9.18,66.12096,2,NA,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","143",2017,34.438,55.611,9.18,66.12096,2,NA,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","143",2018,34.438,55.611,9.18,66.12096,2,NA,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","143",2019,34.438,55.611,9.18,66.12096,2,NA,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","143",2020,34.438,55.611,9.18,66.12096,2,0,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","143",2021,34.438,55.611,9.18,66.12096,2,3,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","143",2022,34.438,55.611,9.18,66.12096,2,1,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","143",2023,34.438,55.611,9.18,66.12096,2,0,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","143",2024,34.438,55.611,9.18,66.12096,2,2,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","143",2025,34.438,55.611,9.18,66.12096,2,3,-0.415693507333844,-0.207866203016039,-0.681085015628824,-0.375818845615395,3.694
"Enil","144",2013,84.866,80.624,16.74,238.2972,3,4,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","144",2014,84.866,80.624,16.74,238.2972,3,1,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","144",2015,84.866,80.624,16.74,238.2972,3,2,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","144",2016,84.866,80.624,16.74,238.2972,3,4,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","144",2017,84.866,80.624,16.74,238.2972,3,4,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","144",2018,84.866,80.624,16.74,238.2972,3,3,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","144",2019,84.866,80.624,16.74,238.2972,3,5,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","144",2020,84.866,80.624,16.74,238.2972,3,3,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","144",2021,84.866,80.624,16.74,238.2972,3,6,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","144",2022,84.866,80.624,16.74,238.2972,3,3,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","144",2023,84.866,80.624,16.74,238.2972,3,4,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","144",2024,84.866,80.624,16.74,238.2972,3,1,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","144",2025,84.866,80.624,16.74,238.2972,3,2,0.501606518262162,0.547453386742457,1.09316520811243,0.512191020235382,11.254
"Enil","151",2013,40.207,57.161,9.364,80.414,2,NA,-0.31075371500293,-0.161060727298385,-0.637902205950465,-0.302101586294366,3.878
"Enil","151",2014,40.207,57.161,9.364,80.414,2,NA,-0.31075371500293,-0.161060727298385,-0.637902205950465,-0.302101586294366,3.878
"Enil","151",2015,40.207,57.161,9.364,80.414,2,NA,-0.31075371500293,-0.161060727298385,-0.637902205950465,-0.302101586294366,3.878
"Enil","151",2016,40.207,57.161,9.364,80.414,2,NA,-0.31075371500293,-0.161060727298385,-0.637902205950465,-0.302101586294366,3.878
"Enil","151",2017,40.207,57.161,9.364,80.414,2,NA,-0.31075371500293,-0.161060727298385,-0.637902205950465,-0.302101586294366,3.878
"Enil","151",2018,40.207,57.161,9.364,80.414,2,NA,-0.31075371500293,-0.161060727298385,-0.637902205950465,-0.302101586294366,3.878
"Enil","151",2019,40.207,57.161,9.364,80.414,2,NA,-0.31075371500293,-0.161060727298385,-0.637902205950465,-0.302101586294366,3.878
"Enil","151",2020,40.207,57.161,9.364,80.414,2,0,-0.31075371500293,-0.161060727298385,-0.637902205950465,-0.302101586294366,3.878
"Enil","151",2021,40.207,57.161,9.364,80.414,2,3,-0.31075371500293,-0.161060727298385,-0.637902205950465,-0.302101586294366,3.878
