"Year","ID","Bat_number","Distance","Species","Number_of_bats","Pinta_kolo","Height","Entrance_distance","Bunker_height","New_species","Relative_distance","Relative_height","Area","Perimeter","Volume","Entrances_number"
2024,"160",1,11.78,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis",0.441463049018138,1,103.377,93.452,294.504,3
2024,"160",1,11.78,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis",0.441463049018138,1,103.377,93.452,294.504,3
2024,"160",1,11.78,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis",0.441463049018138,1,103.377,93.452,294.504,3
2024,"160",2,13.35,"Mmbra",1,"kolo",2,26.684,2.8,"Myotis",0.500299805126668,0.714285714285714,103.377,93.452,294.504,3
2024,"160",2,13.35,"Mmbra",1,"kolo",2,26.684,2.8,"Myotis",0.500299805126668,0.714285714285714,103.377,93.452,294.504,3
2024,"160",2,13.35,"Mmbra",1,"kolo",2,26.684,2.8,"Myotis",0.500299805126668,0.714285714285714,103.377,93.452,294.504,3
2024,"160",2,13.35,"Mmbra",1,"kolo",2,26.684,2.8,"Myotis",0.500299805126668,0.714285714285714,103.377,93.452,294.504,3
2024,"160",2,13.35,"Mmbra",1,"kolo",2,26.684,2.8,"Myotis",0.500299805126668,0.714285714285714,103.377,93.452,294.504,3
2024,"160",2,13.35,"Mmbra",1,"kolo",2,26.684,2.8,"Myotis",0.500299805126668,0.714285714285714,103.377,93.452,294.504,3
2024,"160",2,13.35,"Mmbra",1,"kolo",2,26.684,2.8,"Myotis",0.500299805126668,0.714285714285714,103.377,93.452,294.504,3
2024,"160",2,13.35,"Mmbra",1,"kolo",2,26.684,2.8,"Myotis",0.500299805126668,0.714285714285714,103.377,93.452,294.504,3
2024,"160",2,13.35,"Mmbra",1,"kolo",2,26.684,2.8,"Myotis",0.500299805126668,0.714285714285714,103.377,93.452,294.504,3
2024,"160",2,13.35,"Mmbra",1,"kolo",2,26.684,2.8,"Myotis",0.500299805126668,0.714285714285714,103.377,93.452,294.504,3
2024,"160",2,13.35,"Mmbra",1,"kolo",2,26.684,2.8,"Myotis",0.500299805126668,0.714285714285714,103.377,93.452,294.504,3
2024,"160",2,13.35,"Mmbra",1,"kolo",2,26.684,2.8,"Myotis",0.500299805126668,0.714285714285714,103.377,93.452,294.504,3
2024,"160",3,9.979,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis",0.37396941987708,1,103.377,93.452,294.504,3
2024,"160",3,9.979,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis",0.37396941987708,1,103.377,93.452,294.504,3
2024,"160",3,9.979,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis",0.37396941987708,1,103.377,93.452,294.504,3
2024,"160",3,9.979,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis",0.37396941987708,1,103.377,93.452,294.504,3
2024,"160",3,9.979,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis",0.37396941987708,1,103.377,93.452,294.504,3
2024,"160",3,9.979,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis",0.37396941987708,1,103.377,93.452,294.504,3
2024,"160",3,9.979,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis",0.37396941987708,1,103.377,93.452,294.504,3
2024,"160",3,9.979,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis",0.37396941987708,1,103.377,93.452,294.504,3
2024,"160",3,9.979,"Mmbra",1,"kolo",2.8,26.684,2.8,"Myotis",0.37396941987708,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",4,11.116,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.416579223504722,1,103.377,93.452,294.504,3
2024,"160",5,12.006,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.4499325438465,1,103.377,93.452,294.504,3
2024,"160",5,12.006,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.4499325438465,1,103.377,93.452,294.504,3
2024,"160",5,12.006,"Mmbra",1,"pinta",2.8,26.684,2.8,"Myotis",0.4499325438465,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",6,17.574,"Mmbra",1,"pinta",3,26.684,3,"Myotis",0.658596912007195,1,103.377,93.452,294.504,3
2024,"160",7,22.141,"Mdau",1,"pinta",1.5,26.684,3.3,"Myotis",0.829748163693599,0.454545454545455,103.377,93.452,294.504,3
2024,"160",7,22.141,"Mdau",1,"pinta",1.5,26.684,3.3,"Myotis",0.829748163693599,0.454545454545455,103.377,93.452,294.504,3
2024,"160",7,22.141,"Mdau",1,"pinta",1.5,26.684,3.3,"Myotis",0.829748163693599,0.454545454545455,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
