"Year","Area","ID","Bat_number","Distance","Species","Number_of_bats","Pinta_kolo","Height","Entrance_distance","Bunker_height","New_species"
2024,"Pohjoispaa","420",3,6.824,"Enil",1,"pinta",2,12.467,2,"Enil"
2024,"Ravijoki","11",1,3.005,"Mmbra",1,"kolo",1.1,21.93,2.5,"Myotis"
2024,"Ravijoki","11",2,4.496,"Enil",1,"kolo",2.7,21.93,2.5,"Enil"
2024,"Ravijoki","11",3,3.837,"Enil",1,"pinta",6,21.93,6,"Enil"
2024,"Ravijoki","11",4,4.407,"Paur",2,"kolo",3.6,21.93,6,"Paur"
2024,"Ravijoki","11",5,21.155,"Mmbra",1,"pinta",0,21.93,2.9,"Myotis"
2024,"Ravijoki","11",6,13.876,"Mmbra",4,"kolo",3,21.93,3,"Myotis"
2024,"Ravijoki","11",7,21.252,"Mmbra",2,"kolo",2.9,21.93,2.9,"Myotis"
2024,"Ravijoki","11",8,14.784,"Mmbra",10,"kolo",3.1,21.93,3.1,"Myotis"
2024,"Ravijoki","11",9,14.164,"Mmbra",1,"pinta",2.8,21.93,2.8,"Myotis"
2024,"Ravijoki","2",1,6.159,"Enil",1,"kolo",2.5,16.608,1.9,"Enil"
2024,"Ravijoki","2",2,9.469,"Enil",1,"kolo",1.5,16.608,2.3,"Enil"
2024,"Ravijoki","2",3,11.613,"Enil",1,"kolo",3,16.608,3,"Enil"
2024,"Ravijoki","2",3,11.613,"Mmbra",1,"kolo",2,16.608,3,"Myotis"
2024,"Ravijoki","2",4,9.232,"Myotis sp",1,"kolo",3,16.608,3,"Myotis"
2024,"Ravijoki","2",5,7.526,"Enil",1,"kolo",2,16.608,2.3,"Enil"
2024,"Ravijoki","2",6,11.649,"Enil",1,"kolo",2.5,16.608,3,"Enil"
2024,"Ravijoki","2",7,15.034,"Myotis sp",1,"kolo",3,16.608,3,"Myotis"
2024,"Ravijoki","1-180",1,17.364,"Enil",1,"pinta",3,24.446,3.1,"Enil"
2024,"Ravijoki","1-180",2,16.923,"Paur",1,"kolo",2.5,24.446,3.1,"Paur"
2024,"Ravijoki","1-180",3,20.673,"Mmbra",1,"kolo",3.5,24.446,3.5,"Myotis"
2024,"Ravijoki","1-180",4,21.022,"Mmbra",1,"kolo",3,24.446,3.1,"Myotis"
2024,"Ravijoki","1-180",5,17.189,"Myotis sp",1,"kolo",4,24.446,4,"Myotis"
2024,"Ravijoki","1-180",6,12.379,"Enil",1,"pinta",1.8,24.446,2.5,"Enil"
2024,"Ravijoki","1-180",7,10.854,"Enil",2,"pinta",3,24.446,3,"Enil"
2024,"Ravijoki","7",1,9.772,"Enil",1,"kolo",2.5,25.985,2.5,"Enil"
2024,"Ravijoki","7",2,19.277,"Mmbra",1,"kolo",1.5,25.985,2.3,"Myotis"
2024,"Ravijoki","7",3,18.65,"Mmbra",1,"kolo",1.5,25.985,2.3,"Myotis"
2024,"Ravijoki","7",4,16.318,"Enil",1,"kolo",1.5,25.985,2.3,"Enil"
2024,"Ravijoki","7",5,17.895,"Paur",1,"kolo",1,25.985,2.3,"Paur"
2024,"Ravijoki","7",6,8.611,"Enil",1,"kolo",4.5,25.985,5,"Enil"
2024,"Ravijoki","7",6,8.611,"Paur",2,"kolo",4.5,25.985,5,"Paur"
2024,"Ravijoki","7",6,8.611,"Mmbra",1,"kolo",4.5,25.985,5,"Myotis"
2024,"Ravijoki","7",6,8.611,"Mmbra",3,"kolo",4.5,25.985,5,"Myotis"
2024,"Ravijoki","7",6,8.611,"Mmbra",7,"kolo",4.5,25.985,5,"Myotis"
2024,"Ravijoki","7",6,8.611,"Mmbra",2,"kolo",4.5,25.985,5,"Myotis"
2024,"Ravijoki","7",6,8.611,"Mmbra",1,"kolo",4.5,25.985,5,"Myotis"
2024,"Ravijoki","7",7,17.57,"Mmbra",2,"kolo",2,25.985,2.3,"Myotis"
2024,"Ravijoki","7",7,17.57,"Myotis sp",3,"kolo",NA,25.985,2.3,"Myotis"
2024,"Ravijoki","7",7,17.57,"Paur",1,"kolo",1,25.985,2.3,"Paur"
2024,"Ravijoki","7",8,19.234,"Myotis sp",3,"kolo",3.2,25.985,3.2,"Myotis"
2024,"Ravijoki","7",9,19.753,"Mmbra",1,"kolo",2,25.985,3.2,"Myotis"
2024,"Ravijoki","7",10,20.352,"Myotis sp",4,"kolo",3.2,25.985,3.2,"Myotis"
2024,"Ravijoki","7",11,20.899,"Mmbra",1,"pinta",3.2,25.985,3.2,"Myotis"
2024,"Ravijoki","7",12,23.43,"Mmbra",1,"kolo",3,25.985,3.2,"Myotis"
2024,"Ravijoki","7",13,25.476,"Mmbra",3,"kolo",3.2,25.985,3.2,"Myotis"
2024,"Ravijoki","7",14,25.309,"Mmbra",2,"kolo",3.2,25.985,3.2,"Myotis"
2024,"Ravijoki","7",15,25.792,"Enil",1,"pinta",2,25.985,3.2,"Enil"
2024,"Ravijoki","7",16,25.872,"Enil",1,"pinta",3,25.985,3.2,"Enil"
2024,"Saarasjarvi","152",1,11.524,"Enil",1,"kolo",2,12.904,2,"Enil"
2024,"Saarasjarvi","152",2,11.906,"Enil",2,"kolo",2,12.904,2,"Enil"
2024,"Saarasjarvi","72",1,4.244,"Enil",3,"pinta",-3,10.996,2,"Enil"
2024,"Saarasjarvi","73",1,11.37,"Enil",1,"kolo",2,21.589,2,"Enil"
2024,"Saarasjarvi","73",2,5.369,"Enil",1,"pinta",2,21.589,2,"Enil"
2024,"Sakajarvi","427",1,9.923,"Enil",1,"kolo",1.8,11.328,1.9,"Enil"
2024,"Sakajarvi","427",2,10.329,"Enil",2,"pinta",1.9,11.328,1.9,"Enil"
2024,"Sakajarvi","244",1,4.815,"Enil",1,"pinta",2.2,11.595,2.2,"Enil"
2024,"Sakajarvi","244",2,7.167,"Enil",1,"pinta",2.1,11.595,2.2,"Enil"
2024,"Sakajarvi","244",3,10.84,"Paur",1,"pinta",2,11.595,2.2,"Paur"
2024,"Sakajarvi","244",3,10.84,"Mmbra",1,"pinta",2,11.595,2.2,"Myotis"
2024,"Sakajarvi","241",1,2.547,"Enil",1,"kolo",2,6.987,2,"Enil"
2024,"Sakajarvi","241",2,6.152,"Enil",1,"pinta",1.9,6.987,2,"Enil"
2024,"Sakajarvi","241",3,5.959,"Enil",1,"pinta",1.9,6.987,2,"Enil"
2024,"Sakajarvi","241",4,5.843,"Enil",1,"pinta",1.9,6.987,2,"Enil"
2024,"Sakajarvi","31",1,5.541,"Enil",1,"pinta",-1.5,7.743,2,"Enil"
2024,"Sakajarvi","23",1,9.042,"Enil",1,"kolo",1.9,17.641,2,"Enil"
2024,"Sakajarvi","77",1,11.461,"Enil",1,"pinta",1.9,12.372,1.9,"Enil"
2024,"Sakajarvi","77",2,5.889,"Enil",1,"pinta",1.9,12.372,1.9,"Enil"
2024,"Sakajarvi","143",1,7.244,"Enil",1,"pinta",2,9.18,2,"Enil"
2024,"Sakajarvi","121",1,3.488,"Enil",1,"pinta",-2,10.063,1.9,"Enil"
2024,"Sakajarvi","142",1,8.591,"Enil",1,"pinta",1.8,9.781,2,"Enil"
2024,"Sakajarvi","142",2,7.569,"Enil",1,"pinta",1.9,9.781,2,"Enil"
2024,"Sakajarvi","142",3,8.254,"Enil",1,"pinta",1.9,9.781,2,"Enil"
2024,"Sakajarvi","140",1,6.39,"Enil",2,"kolo",2,8.232,2,"Enil"
2024,"Sakajarvi","140",2,7.361,"Enil",1,"kolo",2,8.232,2,"Enil"
2024,"Sakajarvi","140",3,7.591,"Enil",1,"pinta",1.9,8.232,2,"Enil"
2024,"Sakajarvi","140",4,7.908,"Enil",1,"kolo",2,8.232,2,"Enil"
2024,"Sakajarvi","140",5,6.726,"Enil",1,"kolo",2,8.232,2,"Enil"
2024,"Sakajarvi","140",6,6.296,"Enil",1,"pinta",2,8.232,2,"Enil"
2024,"Sakajarvi","140",7,6.519,"Enil",1,"kolo",2,8.232,2,"Enil"
2025,"Etelapaa","20",1,1.728,"Enil",1,"kolo",1.5,5.486,1.8,"Enil"
2025,"Etelapaa","167",1,10.255,"Paur",1,"kolo",1.5,21.122,3.6,"Paur"
2025,"Etelapaa","167",2,15.773,"Paur",1,"kolo",3,21.122,3.6,"Paur"
2025,"Etelapaa","167",3,14.927,"Enil",1,"pinta",3.6,21.122,3.6,"Enil"
2025,"Etelapaa","167",4,19.342,"Enil",2,"pinta",3.6,21.122,3.6,"Enil"
2025,"Etelapaa","167",5,19.498,"Enil",1,"pinta",3.6,21.122,3.6,"Enil"
2025,"Etelapaa","167",6,8.051,"Enil",1,"kolo",3.6,21.122,3.6,"Enil"
2025,"Etelapaa","43",1,6.945,"Enil",1,"pinta",2,8.085,2,"Enil"
2025,"Etelapaa","40",1,5.438,"Enil",1,"kolo",2,12.882,2.1,"Enil"
2025,"Etelapaa","40",2,3.903,"Enil",1,"pinta",1.7,12.882,2.1,"Enil"
2025,"Etelapaa","173",1,7.137,"Enil",1,"kolo",1.8,11.247,2,"Enil"
2025,"Etelapaa","173",2,6.011,"Enil",1,"pinta",2,11.247,2,"Enil"
2025,"Etelapaa","38",1,6.305,"Enil",1,"pinta",4,14.835,4.3,"Enil"
2025,"Etelapaa","38",2,5.581,"Enil",1,"kolo",1,14.835,2.2,"Enil"
2025,"Etelapaa","38",3,4.546,"Enil",1,"kolo",2,14.835,2.2,"Enil"
2025,"Etelapaa","38",4,6.719,"Enil",1,"kolo",2,14.835,2.2,"Enil"
2025,"Etelapaa","170-171",1,9.42,"Enil",1,"pinta",2,9.967,2,"Enil"
2025,"Etelapaa","28-172",1,10.861,"Enil",1,"pinta",2,11.529,2,"Enil"
2025,"Harju","160",1,7.267,"Mmbra",3,"kolo",1.8,26.684,2.3,"Myotis"
2025,"Harju","160",2,9.669,"Mmbra",16,"kolo",2.3,26.684,2.8,"Myotis"
2025,"Harju","160",3,10.258,"Mmbra",2,"pinta",2.7,26.684,2.8,"Myotis"
2025,"Harju","160",4,12.32,"Mmbra",1,"pinta",2.3,26.684,2.8,"Myotis"
2025,"Harju","160",5,14.347,"Mmbra",1,"pinta",2.3,26.684,2.8,"Myotis"
2025,"Harju","160",6,19.759,"Mmbra",1,"pinta",2.8,26.684,3,"Myotis"
2025,"Harju","160",6,19.759,"Enil",1,"kolo",2.8,26.684,3,"Enil"
2025,"Harju","160",7,21.607,"Mmbra",20,"pinta",3,26.684,3.3,"Myotis"
2025,"Harju","160",8,19.923,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis"
2025,"Harju","160",9,21.912,"Mdau",2,"kolo",3.3,26.684,3.3,"Myotis"
2025,"Harju","160",10,5.513,"Paur",1,"kolo",2,26.684,2,"Paur"
2025,"Harju","160",10,5.513,"Mmbra",1,"kolo",2,26.684,2,"Myotis"
2025,"Harju","160",11,4.626,"Mmbra",1,"kolo",1.5,26.684,2,"Myotis"
2025,"Harju","160",12,4.971,"Mmbra",2,"kolo",2,26.684,2,"Myotis"
2025,"Harju","160",12,4.971,"Mmbra",1,"kolo",2,26.684,2,"Myotis"
2025,"Harju","186",1,2.599,"Enil",1,"kolo",2,13.835,2,"Enil"
2025,"Harju","17",1,13.543,"Myotis",1,"kolo",2.7,20.022,3.2,"Myotis"
2025,"Harju","17",2,14.253,"Enil",1,"kolo",1.6,20.022,3.2,"Enil"
2025,"Harju","17",3,11.207,"Enil",1,"pinta",2.7,20.022,3.2,"Enil"
2025,"Harju","17",4,12.143,"Mmbra",1,"kolo",3,20.022,3.2,"Myotis"
2025,"Harju","82",1,3.999,"Enil",1,"pinta",1.9,10.897,1.9,"Enil"
2025,"Harju","82",2,3.991,"Enil",1,"pinta",1.9,10.897,1.9,"Enil"
2025,"Harju","82",3,3.125,"Enil",1,"pinta",1.9,10.897,1.9,"Enil"
2025,"Harju","82",4,6.478,"Enil",1,"pinta",1.5,10.897,1.9,"Enil"
2025,"Harju","83",1,6.64,"Enil",1,"kolo",2.1,8.101,2.1,"Enil"
2025,"Harju","83",2,4.933,"Enil",1,"pinta",2.1,8.101,2.1,"Enil"
2025,"Kylmala","384",1,3.007,"Enil",1,"pinta",2,10.657,2.2,"Enil"
2025,"Kylmala","384",2,0.874,"Enil",1,"pinta",1.5,10.657,2.2,"Enil"
2025,"Kylmala","384",3,2.125,"Enil",1,"pinta",2,10.657,2.2,"Enil"
2025,"Kylmala","384",4,9.654,"Enil",1,"pinta",1.5,10.657,2.2,"Enil"
2025,"Kylmala","384",5,6.205,"Enil",1,"pinta",2,10.657,2.2,"Enil"
2025,"Kylmala","384",6,5.567,"Enil",1,"pinta",2,10.657,2.2,"Enil"
2025,"Kylmala","384",7,5.035,"Enil",1,"pinta",2,10.657,2.2,"Enil"
2025,"Kylmala","312",1,8.863,"Enil",1,"pinta",2,10.597,2,"Enil"
2025,"Kylmala","304",1,3.943,"Enil",1,"kolo",2,9.654,2,"Enil"
2025,"Kylmala","306",1,1.224,"Enil",1,"pinta",2,8.832,2,"Enil"
2025,"Kylmala","309",1,0.206,"Enil",1,"pinta",2,8.916,2,"Enil"
2025,"Kylmala","309",2,5.282,"Enil",1,"pinta",2,8.916,2,"Enil"
2025,"Kylmala","309",3,7.894,"Enil",1,"pinta",1.5,8.916,2,"Enil"
2025,"Kylmala","309",4,6.436,"Enil",2,"kolo",2,8.916,2,"Enil"
2025,"Kylmala","308",1,8.467,"Enil",1,"pinta",2,10.944,2.1,"Enil"
2025,"Kylmala","308",2,9.997,"Enil",1,"pinta",2,10.944,2.1,"Enil"
2025,"Kylmala","316",1,8.317,"Enil",1,"pinta",2,11.308,2,"Enil"
2025,"Kylmala","316",2,10.252,"Paur",1,"kolo",2,11.308,2,"Paur"
2025,"Kylmala","316",3,10.345,"Enil",1,"pinta",1.5,11.308,2,"Enil"
2025,"Kylmala","316",4,3.943,"Paur",1,"pinta",2,11.308,2,"Paur"
2025,"Kylmala","352",1,4.904,"Enil",1,"pinta",2,7.816,2,"Enil"
2025,"Kylmala","352",2,4.431,"Enil",1,"kolo",1.5,7.816,2,"Enil"
2025,"Kylmala","314",1,6.922,"Enil",1,"pinta",2,12.959,2,"Enil"
2025,"Kylmala","314",2,6.743,"Enil",1,"pinta",2,12.959,2,"Enil"
2025,"Kylmala","314",3,9.016,"Enil",1,"pinta",2,12.959,2,"Enil"
2025,"Kylmala","314",4,11.452,"Enil",1,"pinta",2,12.959,2,"Enil"
2025,"Kylmala","314",5,11.243,"Enil",1,"pinta",2,12.959,2,"Enil"
2025,"Kylmala","314",6,11.42,"Enil",1,"pinta",2,12.959,2,"Enil"
2025,"Paskomaki","102",1,3.431,"Enil",1,"kolo",1,11.891,2,"Enil"
2025,"Paskomaki","102",2,2.801,"Enil",1,"kolo",1,11.891,2,"Enil"
2025,"Paskomaki","104",1,7.643,"Enil",1,"kolo",1.9,9.808,1.9,"Enil"
2025,"Paskomaki","104",2,5.803,"Enil",1,"kolo",1.9,9.808,1.9,"Enil"
2025,"Paskomaki","104",3,4.666,"Enil",1,"kolo",1.9,9.808,1.9,"Enil"
2025,"Paskomaki","104",4,3.111,"Enil",1,"kolo",1.9,9.808,1.9,"Enil"
2025,"Paskomaki","106",1,8.561,"Enil",1,"kolo",1.8,11.693,1.9,"Enil"
2025,"Paskomaki","106",2,10.498,"Enil",1,"pinta",1.8,11.693,1.9,"Enil"
2025,"Paskomaki","106",3,11.003,"Enil",1,"pinta",1.8,11.693,1.9,"Enil"
2025,"Paskomaki","108",1,5.158,"Enil",1,"pinta",2,8.91,2,"Enil"
2025,"Paskomaki","144",1,5.132,"Mmbra",1,NA,0,16.74,3.2,"Myotis"
2025,"Paskomaki","144",2,5.541,"Enil",1,"pinta",2.5,16.74,2.5,"Enil"
2025,"Paskomaki","144",3,7.091,"Enil",1,"kolo",2,16.74,2.3,"Enil"
2025,"Paskomaki","144",4,6.844,"Mmbra",3,"kolo",3.2,16.74,3.2,"Myotis"
2025,"Paskomaki","144",5,7.765,"Mmbra",4,"kolo",3.2,16.74,3.2,"Myotis"
2025,"Paskomaki","144",6,9.164,"Mdau",1,"pinta",3.2,16.74,3.2,"Myotis"
2025,"Paskomaki","144",7,13.971,"Mdau",1,"pinta",3.2,16.74,3.2,"Myotis"
2025,"Paskomaki","144",8,14.237,"Mmbra",3,"kolo",3.2,16.74,3.2,"Myotis"
2025,"Paskomaki","144",9,15.882,"Mdau",1,"pinta",3.2,16.74,3.2,"Myotis"
2025,"Paskomaki","144",10,15.591,"Mmbra",1,"kolo",3.2,16.74,3.2,"Myotis"
2025,"Paskomaki","144",11,12.807,"Mmbra",1,"kolo",3.2,16.74,3.2,"Myotis"
2025,"Paskomaki","144",12,15.616,"Mmbra",3,"kolo",3.2,16.74,3.2,"Myotis"
2025,"Paskomaki","144",13,15.756,"Mmbra",1,"kolo",3.2,16.74,3.2,"Myotis"
2025,"Paskomaki","144",14,7.625,"Mdau",1,"pinta",3.2,16.74,3.2,"Myotis"
2025,"Paskomaki","93",1,5.065,"Enil",1,"kolo",2,11.947,2,"Enil"
2025,"Paskomaki","93",2,11.104,"Enil",1,"pinta",2,11.947,2,"Enil"
2025,"Paskomaki","92",1,4.269,"Enil",1,"pinta",2,12.438,2,"Enil"
